,location,total_sqft,bath,balcony,price,BHK,price_per_sqft
151,Kannamangala,957.0,2.0,1.0,58.0,2.0,6060.61
152,Devarachikkanahalli,1250.0,2.0,3.0,44.0,3.0,3520.0
154,Hulimavu,1125.0,2.0,2.0,50.0,2.0,4444.44
155,Electronic City Phase II,1020.0,2.0,1.0,30.6,2.0,3000.0
156,Kalena Agrahara,1200.0,2.0,2.0,50.0,2.0,4166.67
157,Thanisandra,1735.0,3.0,3.0,135.0,3.0,7780.98
158,Thanisandra,2050.0,3.0,1.0,145.0,3.0,7073.17
160,Other,1350.0,2.0,3.0,48.0,3.0,3555.56
161,Hosa Road,1063.0,2.0,1.0,32.0,2.0,3010.35
162,Other,1904.0,3.0,1.0,150.0,3.0,7878.15
164,Other,2000.0,3.0,1.0,175.0,3.0,8750.0
165,Sarjapur,1145.0,2.0,0.0,43.49,2.0,3798.25
166,Other,1425.0,2.0,2.0,75.0,3.0,5263.16
167,Electronic City,1500.0,2.0,1.0,64.5,3.0,4300.0
168,Electronic City,1060.0,2.0,1.0,60.0,2.0,5660.38
169,Other,1470.0,2.0,2.0,70.0,3.0,4761.9
171,Attibele,450.0,1.0,1.0,11.0,1.0,2444.44
172,Electronic City,1152.0,2.0,1.0,64.5,2.0,5598.96
173,Electronic City,1350.0,2.0,1.0,56.0,3.0,4148.15
174,CV Raman Nagar,1550.0,3.0,3.0,65.0,3.0,4193.55
175,Other,1500.0,3.0,2.0,100.0,3.0,6666.67
177,Nagavara,400.0,1.0,0.0,14.0,1.0,3500.0
178,Malleshwaram,705.0,1.0,2.0,67.0,1.0,9503.55
179,Electronic City,770.0,1.0,1.0,36.0,2.0,4675.32
180,Hulimavu,1242.0,2.0,3.0,51.0,2.0,4106.28
181,Hebbal Kempapura,1700.0,3.0,2.0,155.0,3.0,9117.65
182,Thanisandra,2144.0,3.0,2.0,145.0,3.0,6763.06
183,Vijayanagar,1704.0,3.0,2.0,110.0,3.0,6455.4
184,Electronic City,1070.0,2.0,1.0,52.0,2.0,4859.81
186,Other,1340.0,2.0,2.0,55.7,2.0,4156.72
187,Electronic City,1025.0,2.0,1.0,46.0,2.0,4487.8
188,KR Puram,1015.0,2.0,0.0,56.8,2.0,5596.06
189,Marathahalli,1200.0,2.0,2.0,52.0,2.0,4333.33
190,Kanakpura Road,2250.0,4.0,1.0,110.0,4.0,4888.89
191,Pattandur Agrahara,1550.0,2.0,3.0,80.0,3.0,5161.29
194,Marathahalli,1200.0,2.0,2.0,60.0,2.0,5000.0
195,Yelahanka,1327.0,2.0,2.0,98.0,2.0,7385.08
196,Kothanur,1186.0,2.0,2.0,58.0,2.0,4890.39
197,Other,1783.0,3.0,1.0,115.0,3.0,6449.8
198,HSR Layout,1400.0,3.0,2.0,56.0,3.0,4000.0
199,Other,980.0,2.0,1.0,48.0,2.0,4897.96
200,EPIP Zone,1285.0,2.0,2.0,82.0,2.0,6381.32
201,Other,912.0,2.0,1.0,70.0,3.0,7675.44
202,Whitefield,1225.0,2.0,2.0,47.6,2.0,3885.71
203,Whitefield,1075.0,2.0,1.0,53.0,2.0,4930.23
204,Kadugodi,1260.0,2.0,2.0,54.0,3.0,4285.71
205,Yelahanka,1282.0,2.0,2.0,48.7,3.0,3798.75
206,Kogilu,1909.0,3.0,2.0,88.0,3.0,4609.74
207,Panathur,1359.0,2.0,1.0,87.0,2.0,6401.77
208,Other,1207.0,2.0,2.0,43.5,2.0,3603.98
211,Kammasandra,1595.0,3.0,2.0,65.0,3.0,4075.24
212,Other,1798.0,3.0,2.0,89.0,3.0,4949.94
213,Electronics City Phase 1,1475.0,3.0,2.0,78.29,3.0,5307.8
214,Other,1580.0,3.0,3.0,100.0,3.0,6329.11
215,Dasarahalli,1295.0,2.0,1.0,65.0,2.0,5019.31
217,Electronic City,589.0,1.0,1.0,27.0,1.0,4584.04
218,Other,1415.0,3.0,3.0,78.0,3.0,5512.37
219,Sarjapur  Road,1787.0,3.0,2.0,98.29,3.0,5500.28
220,Sarjapur  Road,1787.0,3.0,2.0,125.0,3.0,6994.96
221,Koramangala,1475.0,2.0,3.0,90.0,3.0,6101.69
222,Other,2000.0,4.0,1.0,75.5,4.0,3775.0
223,Sarjapur  Road,984.0,2.0,1.0,44.28,2.0,4500.0
224,Devanahalli,1520.0,2.0,2.0,74.82,3.0,4922.37
226,7th Phase JP Nagar,1080.0,2.0,2.0,72.0,2.0,6666.67
227,Other,1500.0,2.0,1.0,115.0,2.0,7666.67
228,Hebbal,1900.0,3.0,2.0,119.0,3.0,6263.16
229,Dommasandra,805.0,2.0,1.0,22.14,2.0,2750.31
230,Budigere,1153.0,2.0,2.0,56.4,2.0,4891.59
231,Other,1148.0,2.0,2.0,60.0,2.0,5226.48
232,Other,1110.0,2.0,2.0,55.0,2.0,4954.95
233,Electronic City,1100.0,2.0,2.0,42.0,2.0,3818.18
234,Kalyan nagar,1290.0,2.0,2.0,110.0,2.0,8527.13
235,Other,1500.0,2.0,1.0,65.0,3.0,4333.33
236,Other,1080.0,2.0,2.0,39.0,2.0,3611.11
237,Vijayanagar,1933.0,3.0,1.0,129.0,3.0,6673.56
239,Other,1060.0,2.0,2.0,60.0,2.0,5660.38
240,Chandapura,645.0,1.0,1.0,16.45,1.0,2550.39
242,Chandapura,645.0,1.0,1.0,16.45,1.0,2550.39
243,Other,1644.0,3.0,3.0,84.0,3.0,5109.49
244,Other,1285.0,2.0,3.0,72.5,2.0,5642.02
245,Electronic City,1200.0,3.0,1.0,90.0,3.0,7500.0
246,Electronic City,910.0,2.0,1.0,40.0,2.0,4395.6
247,Kothanur,1577.0,3.0,1.0,70.0,3.0,4438.81
250,Chandapura,800.0,1.0,1.0,20.0,2.0,2500.0
251,Other,1060.0,2.0,2.0,55.0,2.0,5188.68
252,7th Phase JP Nagar,1270.0,2.0,2.0,93.0,2.0,7322.83
253,Other,900.0,2.0,2.0,22.5,2.0,2500.0
254,Other,1280.0,2.0,1.0,69.0,2.0,5390.62
255,Horamavu Agara,1200.0,2.0,0.0,95.0,4.0,7916.67
256,Sarjapur  Road,1025.0,2.0,2.0,36.0,2.0,3512.2
257,Electronic City,1108.0,2.0,1.0,63.0,2.0,5685.92
261,Vijayanagar,1500.0,3.0,2.0,75.5,3.0,5033.33
262,Raja Rajeshwari Nagar,1295.0,2.0,2.0,43.9,2.0,3389.96
263,Budigere,1162.0,2.0,1.0,59.9,2.0,5154.91
264,Sarjapur  Road,1035.0,2.0,2.0,49.2,2.0,4753.62
265,Attibele,1600.0,4.0,0.0,52.8,4.0,3300.0
266,Other,1464.0,3.0,2.0,46.0,3.0,3142.08
267,Hennur Road,1866.0,2.0,2.0,61.58,3.0,3300.11
268,Other,700.0,1.0,1.0,26.0,2.0,3714.29
269,Kalena Agrahara,1804.0,3.0,2.0,120.0,3.0,6651.88
270,Sarjapur,913.0,2.0,1.0,32.0,2.0,3504.93
271,Talaghattapura,1868.0,3.0,2.0,131.0,3.0,7012.85
272,Kengeri Satellite Town,883.0,2.0,1.0,45.0,2.0,5096.26
274,Kogilu,1664.0,2.0,3.0,73.95,3.0,4444.11
275,Hegde Nagar,2026.0,3.0,2.0,132.0,3.0,6515.3
276,Balagere,1210.0,2.0,1.0,80.9,2.0,6685.95
278,Kadugodi,1762.0,3.0,3.0,91.45,3.0,5190.12
279,Jigani,1252.0,3.0,3.0,55.0,3.0,4392.97
280,Gollarapalya Hosahalli,861.0,2.0,1.0,34.5,2.0,4006.97
281,7th Phase JP Nagar,1420.0,2.0,1.0,100.0,3.0,7042.25
283,Electronics City Phase 1,1490.0,3.0,1.0,78.8,3.0,5288.59
284,Bisuvanahalli,1075.0,2.0,1.0,46.0,3.0,4279.07
285,Old Madras Road,1425.0,2.0,2.0,94.0,3.0,6596.49
286,Kalena Agrahara,1200.0,2.0,1.0,40.0,2.0,3333.33
287,Kaggadasapura,1280.0,2.0,2.0,56.0,3.0,4375.0
288,Other,1084.0,2.0,2.0,50.0,2.0,4612.55
289,Chandapura,1015.0,2.0,2.0,25.88,2.0,2549.75
290,Kanakpura Road,1017.0,2.0,1.0,51.25,2.0,5039.33
291,Haralur Road,1027.0,2.0,2.0,44.0,2.0,4284.32
292,Electronic City Phase II,1069.0,2.0,2.0,45.0,2.0,4209.54
293,Hebbal,1349.0,2.0,1.0,98.2,2.0,7279.47
294,9th Phase JP Nagar,1005.0,2.0,1.0,50.0,2.0,4975.12
295,Jakkur,1417.0,2.0,3.0,75.0,2.0,5292.87
296,TC Palaya,1475.0,3.0,1.0,98.0,3.0,6644.07
297,Other,950.0,2.0,2.0,47.0,2.0,4947.37
298,Other,2000.0,4.0,0.0,120.0,4.0,6000.0
300,Sarjapur  Road,1863.0,3.0,2.0,104.0,4.0,5582.39
301,Singasandra,1010.0,2.0,1.0,29.5,2.0,2920.79
302,Kalena Agrahara,1425.0,2.0,1.0,70.0,3.0,4912.28
303,Vijayanagar,1450.0,3.0,0.0,100.0,3.0,6896.55
304,Kothanur,1847.0,3.0,2.0,105.0,3.0,5684.89
305,AECS Layout,1100.0,2.0,3.0,45.0,2.0,4090.91
306,Kanakpura Road,525.0,1.0,1.0,26.0,1.0,4952.38
307,Mallasandra,1665.0,3.0,2.0,95.0,3.0,5705.71
308,Begur,1664.0,4.0,3.0,65.0,4.0,3906.25
309,JP Nagar,1850.0,3.0,3.0,150.0,3.0,8108.11
310,Panathur,1438.0,2.0,3.0,100.0,2.0,6954.1
311,Other,1560.0,3.0,3.0,115.0,3.0,7371.79
312,Yelahanka,1350.0,2.0,1.0,55.55,2.0,4114.81
313,Kanakpura Road,1550.0,3.0,3.0,67.0,3.0,4322.58
314,Malleshpalya,1140.0,2.0,2.0,46.5,2.0,4078.95
316,Other,850.0,2.0,2.0,27.0,2.0,3176.47
317,Whitefield,1280.0,2.0,2.0,75.0,2.0,5859.38
318,Munnekollal,1170.0,2.0,2.0,52.0,2.0,4444.44
319,Other,1113.0,2.0,1.0,51.0,2.0,4582.21
320,Hennur Road,1385.0,2.0,1.0,83.09,2.0,5999.28
321,Electronic City,1128.0,2.0,1.0,65.0,2.0,5762.41
326,Haralur Road,1464.0,3.0,2.0,56.0,3.0,3825.14
327,Other,1200.0,2.0,2.0,55.0,2.0,4583.33
328,Kaval Byrasandra,1200.0,2.0,2.0,52.0,2.0,4333.33
329,Kaggalipura,1150.0,2.0,1.0,55.0,3.0,4782.61
330,Other,1645.0,3.0,2.0,95.0,3.0,5775.08
331,Sarjapur  Road,1000.0,2.0,1.0,67.0,2.0,6700.0
333,6th Phase JP Nagar,1192.0,2.0,2.0,74.0,2.0,6208.05
334,Ulsoor,2135.0,3.0,2.0,215.0,3.0,10070.26
335,Whitefield,1173.0,2.0,1.0,58.0,2.0,4944.59
336,Uttarahalli,1020.0,2.0,2.0,45.0,2.0,4411.76
338,Somasundara Palya,1600.0,3.0,3.0,64.0,3.0,4000.0
339,Other,1200.0,2.0,0.0,79.0,2.0,6583.33
340,Other,1230.0,2.0,3.0,48.0,2.0,3902.44
341,Devarachikkanahalli,1250.0,2.0,2.0,40.0,2.0,3200.0
342,Kalena Agrahara,1325.0,2.0,2.0,76.0,2.0,5735.85
343,7th Phase JP Nagar,1850.0,3.0,1.0,150.0,3.0,8108.11
344,Kanakpura Road,525.0,2.0,2.0,21.53,1.0,4100.95
345,Basaveshwara Nagar,1200.0,2.0,2.0,65.0,2.0,5416.67
347,Bommasandra,1260.0,3.0,1.0,49.36,3.0,3917.46
348,Other,1800.0,3.0,0.0,150.0,3.0,8333.33
350,Ardendale,1100.0,2.0,1.0,43.25,2.0,3931.82
351,Harlur,1508.0,2.0,1.0,77.0,2.0,5106.1
352,Other,1592.0,3.0,2.0,75.0,3.0,4711.06
353,Akshaya Nagar,1388.0,2.0,3.0,57.0,2.0,4106.63
354,Electronic City Phase II,630.0,1.0,1.0,28.35,1.0,4500.0
356,Other,1762.0,3.0,1.0,125.0,3.0,7094.21
357,Other,950.0,2.0,2.0,50.0,2.0,5263.16
359,Magadi Road,1116.0,2.0,1.0,50.0,2.0,4480.29
360,Other,1308.0,2.0,2.0,89.04,2.0,6807.34
361,Other,1200.0,3.0,0.0,90.0,3.0,7500.0
363,Bannerghatta Road,500.0,1.0,1.0,18.5,1.0,3700.0
364,Hennur,1075.0,2.0,1.0,52.0,2.0,4837.21
365,Chandapura,530.0,1.0,0.0,11.66,1.0,2200.0
366,Bellandur,1205.0,2.0,3.0,66.0,2.0,5477.18
367,5th Phase JP Nagar,1075.0,2.0,2.0,60.0,2.0,5581.4
368,KR Puram,930.0,2.0,2.0,39.0,2.0,4193.55
369,Balagere,1380.0,2.0,1.0,60.0,2.0,4347.83
371,Kodigehaali,1166.0,2.0,2.0,55.0,2.0,4716.98
372,Bannerghatta Road,1050.0,2.0,1.0,65.0,2.0,6190.48
374,Begur Road,1200.0,2.0,2.0,46.8,2.0,3900.0
375,Lakshminarayana Pura,1600.0,2.0,1.0,108.0,3.0,6750.0
376,Billekahalli,1935.0,3.0,2.0,110.0,3.0,5684.75
377,8th Phase JP Nagar,451.0,1.0,0.0,29.9,1.0,6629.71
378,Electronic City,1800.0,3.0,2.0,95.0,3.0,5277.78
379,Jalahalli,1400.0,3.0,0.0,77.0,3.0,5500.0
380,Hegde Nagar,1801.0,3.0,2.0,115.0,3.0,6385.34
381,Mahadevpura,1451.0,2.0,2.0,90.0,2.0,6202.62
382,Anekal,1200.0,1.0,1.0,36.0,2.0,3000.0
383,Begur Road,1160.0,2.0,2.0,44.0,2.0,3793.1
384,Kengeri,1000.0,2.0,1.0,25.0,2.0,2500.0
385,Kanakpura Road,950.0,2.0,1.0,40.0,2.0,4210.53
386,Other,1629.0,3.0,2.0,79.0,3.0,4849.6
387,Vijayanagar,1580.0,2.0,0.0,134.0,3.0,8481.01
388,Vijayanagar,1826.0,3.0,2.0,121.0,3.0,6626.51
389,7th Phase JP Nagar,1245.0,2.0,1.0,94.0,2.0,7550.2
390,Raja Rajeshwari Nagar,1145.0,2.0,2.0,45.79,2.0,3999.13
391,Sompura,825.0,2.0,1.0,33.0,2.0,4000.0
392,Yeshwanthpur,1693.0,3.0,3.0,108.0,3.0,6379.21
393,Electronics City Phase 1,1113.27,2.0,2.0,53.0,2.0,4760.75
394,Other,1460.0,2.0,1.0,58.0,2.0,3972.6
395,Doddathoguru,1050.0,2.0,1.0,32.0,2.0,3047.62
396,Dodda Nekkundi,1260.0,2.0,2.0,55.0,2.0,4365.08
398,Hosur Road,1656.0,2.0,1.0,120.0,2.0,7246.38
399,Chandapura,1208.0,3.0,1.0,45.0,3.0,3725.17
400,Whitefield,1910.0,3.0,2.0,161.0,3.0,8429.32
402,Battarahalli,1200.0,2.0,1.0,65.0,2.0,5416.67
404,7th Phase JP Nagar,1175.0,2.0,1.0,82.0,2.0,6978.72
411,Other,1185.0,2.0,2.0,38.0,2.0,3206.75
412,Kengeri,750.0,2.0,1.0,38.0,2.0,5066.67
414,Kanakpura Road,1550.0,3.0,3.0,64.5,3.0,4161.29
415,Other,1760.0,3.0,2.0,88.0,3.0,5000.0
416,Billekahalli,1125.0,2.0,2.0,62.0,2.0,5511.11
418,Anandapura,1000.0,2.0,1.0,55.0,2.0,5500.0
419,Bommasandra Industrial Area,1090.0,2.0,2.0,31.48,2.0,2888.07
420,TC Palaya,1200.0,2.0,0.0,60.0,2.0,5000.0
421,Budigere,1991.0,4.0,2.0,103.0,3.0,5173.28
422,Bommasandra,1060.0,2.0,1.0,26.5,2.0,2500.0
423,Ambalipura,1105.0,2.0,1.0,75.0,2.0,6787.33
424,Hoodi,985.0,2.0,2.0,67.0,2.0,6802.03
426,Balagere,1590.0,3.0,2.0,79.0,3.0,4968.55
427,CV Raman Nagar,1120.0,2.0,2.0,55.0,2.0,4910.71
428,Other,1069.0,2.0,1.0,55.0,2.0,5145.0
429,Marathahalli,1933.0,3.0,2.0,140.0,3.0,7242.63
430,Hosur Road,1194.0,2.0,0.0,69.0,2.0,5778.89
431,Brookefield,1150.0,2.0,3.0,69.0,2.0,6000.0
432,Yelenahalli,1240.0,2.0,2.0,47.12,2.0,3800.0
433,Raja Rajeshwari Nagar,1419.0,2.0,2.0,48.1,2.0,3389.71
436,Other,1450.0,3.0,2.0,55.0,3.0,3793.1
437,Other,1630.0,3.0,2.0,68.29,3.0,4189.57
438,Dasanapura,708.0,1.0,1.0,40.0,2.0,5649.72
441,Bellandur,1250.0,2.0,1.0,76.0,2.0,6080.0
442,7th Phase JP Nagar,1400.0,2.0,1.0,95.0,3.0,6785.71
443,Sarjapur  Road,1670.0,2.0,3.0,57.0,3.0,3413.17
444,Ardendale,1750.0,3.0,2.0,100.0,3.0,5714.29
445,Vittasandra,1404.0,2.0,1.0,71.0,2.0,5056.98
446,Hoodi,1715.0,2.0,2.0,95.0,3.0,5539.36
447,Electronic City,630.0,1.0,1.0,34.65,1.0,5500.0
448,Harlur,1752.12,3.0,2.0,135.0,3.0,7704.95
449,Hulimavu,1650.0,3.0,2.0,78.0,3.0,4727.27
450,Raja Rajeshwari Nagar,1295.0,2.0,1.0,55.47,2.0,4283.4
452,Sarjapur  Road,1346.0,2.0,1.0,74.03,2.0,5500.0
454,Hormavu,1150.0,2.0,2.0,55.0,2.0,4782.61
456,Chandapura,1190.0,2.0,2.0,30.35,3.0,2550.42
457,AECS Layout,1620.0,3.0,2.0,98.0,3.0,6049.38
458,Marathahalli,950.0,2.0,1.0,46.96,2.0,4943.16
461,Electronic City Phase II,1220.0,2.0,1.0,35.23,3.0,2887.7
462,Other,850.0,2.0,1.0,30.0,2.0,3529.41
463,Padmanabhanagar,1020.0,2.0,2.0,63.0,2.0,6176.47
464,Chikkalasandra,1100.0,2.0,2.0,50.0,2.0,4545.45
466,Hebbal,1760.0,2.0,2.0,130.0,3.0,7386.36
467,Ambalipura,1800.0,3.0,3.0,110.0,3.0,6111.11
468,Akshaya Nagar,1070.0,2.0,1.0,54.0,2.0,5046.73
470,Vidyaranyapura,1440.0,2.0,0.0,95.0,2.0,6597.22
471,Amruthahalli,900.0,2.0,1.0,40.0,2.0,4444.44
473,Whitefield,1130.0,2.0,1.0,42.16,2.0,3730.97
475,Other,1270.0,2.0,1.0,98.0,2.0,7716.54
476,Other,1200.0,2.0,1.0,62.0,2.0,5166.67
478,Other,1200.0,2.0,1.0,74.0,2.0,6166.67
479,Subramanyapura,929.0,2.0,0.0,50.17,2.0,5400.43
484,Other,1464.0,3.0,2.0,56.0,3.0,3825.14
486,Other,2000.0,4.0,2.0,99.0,4.0,4950.0
487,Chikkalasandra,1208.0,2.0,1.0,49.0,2.0,4056.29
488,Hebbal Kempapura,1130.0,2.0,2.0,60.0,2.0,5309.73
489,Other,1753.0,3.0,2.0,120.0,3.0,6845.41
491,Other,600.0,3.0,2.0,58.0,3.0,9666.67
492,Hoodi,1196.0,2.0,2.0,94.42,2.0,7894.65
493,5th Phase JP Nagar,1150.0,3.0,3.0,52.5,2.0,4565.22
494,Electronic City,1128.0,2.0,1.0,63.0,2.0,5585.11
495,Other,1000.0,2.0,1.0,53.0,2.0,5300.0
496,Yelahanka,1035.0,2.0,1.0,45.0,2.0,4347.83
497,Kereguddadahalli,950.0,2.0,1.0,32.0,2.0,3368.42
498,Bisuvanahalli,1075.0,2.0,1.0,36.0,3.0,3348.84
499,Whitefield,1040.0,2.0,1.0,48.5,2.0,4663.46
500,Other,720.0,2.0,1.0,45.0,2.0,6250.0
501,Lingadheeranahalli,1511.0,3.0,1.0,95.0,3.0,6287.23
502,Other,1300.0,3.0,1.0,58.0,3.0,4461.54
503,Hoodi,1545.0,3.0,1.0,68.75,3.0,4449.84
504,Other,375.0,2.0,0.0,26.0,1.0,6933.33
505,Vidyaranyapura,1062.0,2.0,3.0,38.0,2.0,3578.15
506,Other,1115.0,2.0,1.0,40.0,2.0,3587.44
507,JP Nagar,1000.0,2.0,1.0,35.0,2.0,3500.0
508,Kambipura,883.0,2.0,1.0,45.0,2.0,5096.26
